phase,elapsed_s,rss_kb,ws_clients,http_clients,teach_points,safety_total,static_cache_bytes,tx_dropped,header_rejects,conn_rejects,hammer_ops
B 1 客户端,1245.7,1896,1,2,0,0,0,0,0,0,0
B 1 客户端,1260.7,1896,1,2,0,0,0,0,0,0,0
B 1 客户端,1275.8,1896,1,2,0,0,0,0,0,0,0
B 1 客户端,1290.8,1896,1,2,0,0,0,0,0,0,0
B 1 客户端,1305.8,1896,1,2,0,0,0,0,0,0,0
B 1 客户端,1320.8,1896,1,2,0,0,0,0,0,0,0
B 1 客户端,1335.8,1896,1,2,0,0,0,0,0,0,0
B 1 客户端,1350.8,1896,1,2,0,0,0,0,0,0,0
B 1 客户端,1365.8,1896,1,2,0,0,0,0,0,0,0
B 1 客户端,1380.8,1896,1,2,0,0,0,0,0,0,0
B 1 客户端,1395.8,1896,1,2,0,0,0,0,0,0,0
B 1 客户端,1410.8,1896,1,2,0,0,0,0,0,0,0
B 1 客户端,1425.9,1896,1,2,0,0,0,0,0,0,0
C 4 客户端,1440.9,1896,4,5,0,0,0,0,0,0,0
C 4 客户端,1455.9,4032,7,8,675,0,3454,0,0,0,1523
C 4 客户端,1470.9,4032,7,8,1344,0,3454,0,0,0,3042
C 4 客户端,1485.9,4032,7,8,2016,0,3454,0,0,0,4565
C 4 客户端,1500.9,4284,7,8,2688,0,3454,0,0,0,6084
C 4 客户端,1515.9,4284,7,8,3357,0,3454,0,0,0,7603
C 4 客户端,1531.0,4284,7,8,4032,0,3454,0,0,0,9125
C 4 客户端,1546.0,4284,7,9,4096,0,3454,0,0,0,10645
C 4 客户端,1561.0,4284,7,8,4096,0,3454,0,0,0,12167
C 4 客户端,1576.0,4284,7,8,4096,0,3454,0,0,0,13686
C 4 客户端,1591.0,4284,7,8,4096,0,3454,0,0,0,15208
C 4 客户端,1606.0,4284,7,8,4096,0,3454,0,0,0,16728
C 4 客户端,1621.0,4284,7,8,4096,0,3454,0,0,0,18250
C 4 客户端,1636.0,4284,7,8,4096,0,3454,0,0,0,19769
C 4 客户端,1651.0,4284,7,8,4096,0,3454,0,0,0,21292
C 4 客户端,1666.0,4284,7,8,4096,0,3454,0,0,0,22811
C 4 客户端,1681.1,4284,7,8,4096,0,3454,0,0,0,24334
C 4 客户端,1696.1,4284,7,8,4096,0,3454,0,0,0,25853
C 4 客户端,1711.1,4284,7,8,4096,0,3454,0,0,0,27375
C 4 客户端,1726.1,4284,7,8,4096,0,3454,0,0,0,28895
C 4 客户端,1741.1,4284,7,8,4096,0,3454,0,0,0,30417
C 4 客户端,1756.1,4284,7,8,4096,0,3454,0,0,0,31936
C 4 客户端,1771.1,4284,7,8,4096,0,3454,0,0,0,33455
C 4 客户端,1786.1,4284,7,8,4096,0,3454,0,0,0,34978
C 4 客户端,1801.1,4284,7,8,4096,0,3454,0,0,0,36497
C 4 客户端,1816.1,4284,7,8,4096,0,3454,0,0,0,38019
C 4 客户端,1831.2,4284,7,8,4096,0,3454,0,0,0,39539
C 4 客户端,1846.2,4284,7,8,4096,0,3454,0,0,0,41058
C 4 客户端,1861.2,4284,7,8,4096,0,3454,0,0,0,42577
C 4 客户端,1876.2,4284,7,8,4096,0,3454,0,0,0,44096
C 4 客户端,1891.2,4284,7,8,4096,0,3454,0,0,0,45612
C 4 客户端,1906.2,4284,7,8,4096,0,3454,0,0,0,47131
C 4 客户端,1921.2,4284,7,8,4096,0,3454,0,0,0,48651
C 4 客户端,1936.2,4284,7,8,4096,0,3454,0,0,0,50169
C 4 客户端,1951.2,4284,7,8,4096,0,3454,0,0,0,51692
C 4 客户端,1966.3,4284,7,8,4096,0,3454,0,0,0,53211
C 4 客户端,1981.3,4284,7,8,4096,0,3454,0,0,0,54734
C 4 客户端,1996.3,4284,7,8,4096,0,3454,0,0,0,56253
C 4 客户端,2011.3,4284,7,9,4096,0,3454,0,0,0,57773
C 4 客户端,2026.3,4284,7,8,4096,0,3454,0,0,0,59295
C 4 客户端,2041.3,4284,7,8,4096,0,3454,0,0,0,60814
C 4 客户端,2056.3,4284,7,9,4096,0,3454,0,0,0,62336
C 4 客户端,2071.3,4284,7,8,4096,0,3454,0,0,0,63856
C 4 客户端,2086.3,4284,7,8,4096,0,3454,0,0,0,65378
C 4 客户端,2101.4,4284,7,8,4096,0,3454,0,0,0,66898
C 4 客户端,2116.4,4284,7,8,4096,0,3454,0,0,0,68417
C 4 客户端,2131.4,4284,7,9,4096,0,3454,0,0,0,69939
C 4 客户端,2146.4,4284,7,9,4096,0,3454,0,0,0,71458
